id,name,description,explanation,categories,price
1,Catan,"Jeu de stratégie où les joueurs colonisent une île en collectant et échangeant des ressources.","À chaque tour, les joueurs lancent les dés pour produire des ressources, échangent entre eux puis construisent routes et colonies. Le premier joueur à atteindre 10 points de victoire remporte la partie.","{STRATEGY,FAMILY,RESOURCE_MANAGEMENT}",35
2,Ticket to Ride,"Jeu de stratégie accessible où les joueurs construisent des lignes de train à travers une carte.","Les joueurs collectent des cartes de wagons pour relier des villes selon des objectifs secrets. La partie se termine quand un joueur a presque épuisé ses wagons.","{FAMILY,STRATEGY}",40
3,Pandemic,"Jeu coopératif où les joueurs tentent de sauver le monde de plusieurs maladies mortelles.","Chaque joueur incarne un rôle avec des capacités spéciales. Ensemble, ils se déplacent, soignent les maladies et découvrent des remèdes avant que le temps ne manque.","{COOPERATIVE,STRATEGY}",42
4,7 Wonders,"Jeu de développement où les joueurs bâtissent une civilisation antique.","Les joueurs draftent des cartes à chaque âge pour construire bâtiments, armées et merveilles. Les points sont comptés à la fin de la partie pour déterminer le vainqueur.","{STRATEGY,DRAFT,RESOURCE_MANAGEMENT}",45
5,Azul,"Jeu abstrait de pose de tuiles inspiré de l'art portugais.","Les joueurs choisissent des tuiles depuis des fabriques pour compléter des motifs sur leur plateau. Les points sont gagnés ou perdus selon le placement.","{ABSTRACT,FAMILY}",38
6,Codenames,"Jeu d'ambiance basé sur l'association de mots en équipe.","Un maître-espion donne un indice en un mot et un nombre. Son équipe doit retrouver les bons mots sans révéler ceux de l'adversaire.","{PARTY,COOPERATIVE}",22
7,Wingspan,"Jeu de stratégie où les joueurs développent une réserve naturelle pour oiseaux.","Les joueurs jouent des cartes oiseaux en utilisant nourriture et œufs. Chaque oiseau déclenche des effets permettant d'optimiser son moteur de jeu.","{STRATEGY,RESOURCE_MANAGEMENT}",55
8,Dixit,"Jeu créatif et poétique basé sur l'interprétation d'images.","Un joueur donne un indice lié à une carte illustrée. Les autres choisissent une carte similaire et doivent deviner celle du conteur.","{PARTY,FAMILY}",32
9,Carcassonne,"Jeu de pose de tuiles où les joueurs construisent un paysage médiéval.","À son tour, un joueur pose une tuile et peut y placer un pion pour marquer des points. Les points sont comptés au fil et à la fin de la partie.","{FAMILY,STRATEGY}",30
10,Splendor,"Jeu de développement économique basé sur la collecte de gemmes.","Les joueurs récupèrent des jetons ou achètent des cartes pour obtenir des bonus permanents. Le premier à atteindre 15 points gagne.","{STRATEGY,RESOURCE_MANAGEMENT}",35
11,Terraforming Mars,"Jeu de stratégie où les joueurs transforment Mars en planète habitable.","Les joueurs jouent des cartes projets pour augmenter température, oxygène et océans. Les points sont calculés selon l'impact sur la planète.","{STRATEGY,RESOURCE_MANAGEMENT}",65
12,Love Letter,"Jeu de cartes rapide basé sur la déduction.","Les joueurs piochent et jouent une carte à chaque tour pour éliminer les adversaires. Le dernier joueur en jeu ou la carte la plus forte gagne la manche.","{CARD_GAME,PARTY}",12
13,The Crew,"Jeu de plis coopératif avec des missions à accomplir.","Les joueurs jouent des plis sans communiquer librement afin de remplir des objectifs précis. Chaque mission réussie permet de progresser.","{COOPERATIVE,CARD_GAME}",15
14,Risk,"Jeu de conquête territoriale à grande échelle.","Les joueurs déplacent leurs armées, attaquent des territoires et tentent de remplir des objectifs secrets pour gagner.","{STRATEGY}",38
15,Kingdomino,"Jeu de dominos tactique pour toute la famille.","Les joueurs choisissent des dominos représentant des terrains et les placent pour former un royaume. Les points dépendent des couronnes et des zones.","{FAMILY,ABSTRACT}",22
16,Uno,"Jeu de cartes rapide et accessible.","Les joueurs posent des cartes de même couleur ou valeur. Le premier à se débarrasser de toutes ses cartes gagne.","{CARD_GAME,PARTY}",10
17,Small World,"Jeu de conquête où les peuples fantastiques se succèdent.","Les joueurs étendent leur peuple sur la carte jusqu'à son déclin, puis en choisissent un nouveau. Les points sont gagnés à chaque tour.","{STRATEGY}",48
18,Cluedo,"Jeu d'enquête où les joueurs doivent résoudre un meurtre.","Les joueurs se déplacent dans le manoir pour faire des hypothèses. Le premier à deviner le coupable, l'arme et la pièce gagne.","{FAMILY}",28
19,Time's Up!,"Jeu d'ambiance basé sur la communication et la mémoire.","Les joueurs doivent faire deviner des personnalités en trois manches, avec des règles de plus en plus restrictives.","{PARTY}",25
20,Takenoko,"Jeu de stratégie léger où les joueurs entretiennent un jardin impérial.","Les joueurs déplacent le jardinier et le panda pour cultiver du bambou et remplir des objectifs secrets.","{FAMILY,STRATEGY}",38
21,Dominion,"Jeu de cartes stratégique centré sur la construction de deck.","Les joueurs achètent des cartes pour améliorer leur deck personnel. Chaque partie propose des cartes différentes, rendant chaque partie unique.","{STRATEGY,CARD_GAME}",40
22,Gloomhaven,"Jeu coopératif de grande ampleur mêlant aventure, tactique et narration.","Les joueurs incarnent des mercenaires et accomplissent des scénarios tactiques. Les choix ont des conséquences durables sur la campagne.","{COOPERATIVE,STRATEGY}",145
23,6 qui prend !,"Jeu de cartes simple et malin basé sur l'anticipation.","Les joueurs posent simultanément une carte numérotée. Celui qui complète une rangée récupère des points négatifs.","{CARD_GAME,FAMILY}",12
24,Brass: Birmingham,"Jeu de stratégie économique dans l'Angleterre industrielle.","Les joueurs développent industries et réseaux de transport. La victoire dépend de la gestion optimale des ressources et du timing.","{STRATEGY,RESOURCE_MANAGEMENT}",70
25,Les Aventuriers du Rail : Europe,"Version européenne du célèbre jeu de construction de chemins de fer.","Les joueurs collectent des cartes pour relier des villes européennes. Des tunnels et ferries ajoutent de nouvelles contraintes.","{FAMILY,STRATEGY}",42
26,Hanabi,"Jeu coopératif de cartes basé sur la communication limitée.","Les joueurs voient les cartes des autres mais pas les leurs. Ils doivent donner des indices pour créer un feu d'artifice parfait.","{COOPERATIVE,CARD_GAME}",12
27,Patchwork,"Jeu abstrait à deux joueurs sur la création d'une couverture.","Les joueurs choisissent des pièces à placer sur leur plateau. Les boutons servent à la fois de monnaie et de points.","{ABSTRACT,STRATEGY}",25
28,Scythe,"Jeu de stratégie se déroulant dans une Europe alternative.","Les joueurs développent leur faction par l'économie, le combat et l'expansion. Chaque décision influence le rythme de la partie.","{STRATEGY,RESOURCE_MANAGEMENT}",85
29,Just One,"Jeu d'ambiance coopératif basé sur la créativité.","Les joueurs donnent un mot-indice pour faire deviner un mot secret. Les indices identiques sont annulés.","{PARTY,COOPERATIVE}",22
30,Mysterium,"Jeu coopératif mêlant enquête et interprétation d'images.","Un joueur incarne un fantôme donnant des visions aux autres. Les enquêteurs doivent interpréter ces images pour résoudre un meurtre.","{COOPERATIVE,PARTY}",42
31,Agricola,"Jeu de gestion où les joueurs développent leur ferme.","Les joueurs placent des ouvriers pour récolter ressources et améliorer leur exploitation. La planification est essentielle.","{STRATEGY,RESOURCE_MANAGEMENT}",55
32,Exploding Kittens,"Jeu de cartes humoristique et imprévisible.","Les joueurs piochent des cartes jusqu'à tomber sur un chat explosif. Des cartes spéciales permettent d'éviter l'élimination.","{CARD_GAME,PARTY}",18
33,Santorini,"Jeu abstrait tactique basé sur la construction.","Les joueurs déplacent un ouvrier puis construisent un étage. Le premier à atteindre le sommet d'une tour gagne.","{ABSTRACT,STRATEGY}",28
34,Loup-Garou pour une Nuit,"Jeu d'ambiance basé sur le bluff et la déduction.","Chaque joueur reçoit un rôle secret. Une discussion s'engage pour identifier les loups-garous avant la fin de la nuit.","{PARTY}",15
35,Stone Age,"Jeu de gestion se déroulant à la préhistoire.","Les joueurs placent des ouvriers pour collecter ressources et développer leur tribu. Les dés influencent les récoltes.","{STRATEGY,RESOURCE_MANAGEMENT}",45
36,Dobble,"Jeu d'observation et de rapidité.","Les joueurs doivent trouver le symbole commun entre deux cartes. Le plus rapide marque des points.","{PARTY,FAMILY}",14
37,Citadelles,"Jeu de cartes stratégique basé sur des rôles secrets.","Chaque tour, les joueurs choisissent un personnage pour utiliser son pouvoir. Le but est de construire une cité avant les autres.","{STRATEGY,CARD_GAME}",22
38,Power Grid,"Jeu de stratégie économique sur la gestion d'un réseau électrique.","Les joueurs achètent des centrales et des ressources pour alimenter des villes. La planification à long terme est cruciale.","{STRATEGY,RESOURCE_MANAGEMENT}",48
39,The Mind,"Jeu coopératif minimaliste basé sur l'intuition.","Les joueurs doivent jouer des cartes dans l'ordre sans communiquer. La synchronisation mentale est essentielle.","{COOPERATIVE,CARD_GAME}",12
40,Qwirkle,"Jeu abstrait de pose de tuiles basé sur les formes et les couleurs.","Les joueurs posent des tuiles en respectant des règles de correspondance. Les lignes complètes rapportent beaucoup de points.","{ABSTRACT,FAMILY}",28
